state,county,no_of_kg_student,vax-rate
MICHIGAN,Livingston,0,0.79
MICHIGAN,Luce,0,0.79
MICHIGAN,Oceana,0,0.79
MICHIGAN,Roscommon,0,0.79
Wisconsin,Milwaukee,16680,0.78
Wisconsin,Dane,7431,0.78
ALABAMA,CALHOUN,1567,0.78
Wisconsin,Dodge,1068,0.78
ALABAMA,CULLMAN,974,0.78
Nevada,elko,974,0.78
Wisconsin,Douglas,616,0.78
Wisconsin,Barron,596,0.78
Wisconsin,Marinette,478,0.78
Washington,STEVENS,349,0.78
Washington,ASOTIN,248,0.78
Wisconsin,Waushara,238,0.78
Wisconsin,Green Lake,229,0.78
ALABAMA,BIBB,209,0.78
IOWA,Allamakee ,178,0.78
Utah,Cache,171,0.78
Kentucky,Breathitt,169,0.78
Nevada,white pine,117,0.78
Idaho,Troy,23,0.78
ILLINOIS,JEFFERSON,0,0.78
ILLINOIS,JERSEY,0,0.78
ILLINOIS,LAWRENCE,0,0.78
ILLINOIS,STEPHENSON,0,0.78
Indiana,Boone,0,0.78
Indiana,Hancock,0,0.78
Indiana,Howard,0,0.78
Indiana,Starke,0,0.78
Kansas,COFFEY,0,0.78
Kansas,NEMAHA,0,0.78
MICHIGAN,Emmet,0,0.78
MICHIGAN,Gogebic,0,0.78
MICHIGAN,Lake,0,0.78
MICHIGAN,Mason,0,0.78
Texas,NEWTON,0,0.78
Washington,CLARK,5742,0.77
Nevada,washoe,5499,0.77
ALABAMA,MONTGOMERY,3354,0.77
ALABAMA,MORGAN,1547,0.77
ALABAMA,ETOWAH,1232,0.77
Wisconsin,Sauk,904,0.77
ALABAMA,AUTAUGA,695,0.77
ALABAMA,DALLAS,652,0.77
Nevada,lyon,630,0.77
ALABAMA,FRANKLIN,488,0.77
ALABAMA,CLARKE,275,0.77
ALABAMA,HALE,224,0.77
Utah,Emery,201,0.77
Wisconsin,Buffalo,183,0.77
North Dakota,McKenzie,180,0.77
ALABAMA,COOSA,104,0.77
ILLINOIS,EDWARDS,0,0.77
ILLINOIS,HAMILTON,0,0.77
ILLINOIS,KNOX,0,0.77
ILLINOIS,WHITE,0,0.77
Kansas,STEVENS,0,0.77
MICHIGAN,Antrim,0,0.77
MICHIGAN,Kalkaska,0,0.77
MICHIGAN,Oakland,0,0.77
MICHIGAN,Ogemaw,0,0.77
Washington,THURSTON,3277,0.76
Wisconsin,Rock,2385,0.76
Wisconsin,Columbia,737,0.76
ALABAMA,JACKSON,624,0.76
Wisconsin,Dunn,529,0.76
Wisconsin,Trempealeau,458,0.76
ALABAMA,PIKE,395,0.76
Washington,CLALLAM,305,0.76
Idaho,Gooding,99,0.76
Nevada,lincoln,58,0.76
Idaho,West Side,45,0.76
Idaho,Bruneau-Grand,25,0.76
ILLINOIS,EFFINGHAM,0,0.76
ILLINOIS,MACON,0,0.76
ILLINOIS,RANDOLPH,0,0.76
Indiana,Lake,0,0.76
Kansas,ELK,0,0.76
Kansas,JEWELL,0,0.76
Kansas,KINGMAN,0,0.76
MICHIGAN,Baraga,0,0.76
MICHIGAN,Dickinson,0,0.76
MICHIGAN,Washtenaw,0,0.76
MONTANA,Wheatland,0,0.76
Wisconsin,Monroe,728,0.75
ALABAMA,CHOCTAW,191,0.75
Wisconsin,Bayfield,142,0.75
Tennessee,Van Buren,57,0.75
Idaho,Cottonwood,36,0.75
Idaho,Hagerman,20,0.75
Idaho,Highland,12,0.75
ILLINOIS,HARDIN,0,0.75
MICHIGAN,Alger,0,0.75
MICHIGAN,Lapeer,0,0.75
MICHIGAN,Ontonagon,0,0.75
ALABAMA,MARSHALL,1588,0.74
Wisconsin,Ozaukee,1062,0.74
ALABAMA,ST.CLAIR,1025,0.74
California,NEVADA,854,0.74
Washington,GRAYS HARBOR,819,0.74
Wisconsin,Crawford,207,0.74
Wisconsin,Marquette,171,0.74
Washington,SAN JUAN,82,0.74
Idaho,Firth,57,0.74
MINNESOTA,PENNINGTON,34,0.74
MICHIGAN,Schoolcraft,0,0.74
ALABAMA,JEFFERSON,9910,0.73
Washington,SPOKANE,6151,0.73
ALABAMA,LIMESTONE,934,0.73
Wisconsin,Pierce,512,0.73
Wisconsin,Richland,263,0.73
Nevada,humboldt,252,0.73
Wisconsin,Burnett,178,0.73
Idaho,Teton,154,0.73
Idaho,West Bonner,79,0.73
ILLINOIS,GREENE,0,0.73
ILLINOIS,MADISON,0,0.73
ILLINOIS,PIKE,0,0.73
ILLINOIS,VERMILION,0,0.73
MICHIGAN,Midland,0,0.73
Texas,BASTROP,0,0.73
ALABAMA,DALE,561,0.72
ALABAMA,BARBOUR,294,0.72
ALABAMA,GENEVA,283,0.72
Kentucky,Todd,149,0.72
Wisconsin,Pepin,85,0.72
ILLINOIS,FRANKLIN,0,0.72
ILLINOIS,ROCK ISLAND,0,0.72
ILLINOIS,WHITESIDE,0,0.72
Indiana,Marion,0,0.72
Indiana,Ohio,0,0.72
MICHIGAN,Houghton,0,0.72
ALABAMA,SHELBY,1719,0.71
Wisconsin,Polk,612,0.71
Washington,KITTITAS,418,0.71
Wisconsin,Taylor,282,0.71
Washington,SKAMANIA,69,0.71
Idaho,Midvale,7,0.71
ILLINOIS,MCDONOUGH,0,0.71
ILLINOIS,MERCER,0,0.71
ILLINOIS,WABASH,0,0.71
MICHIGAN,Alcona,0,0.71
MICHIGAN,Oscoda,0,0.71
ALABAMA,MADISON,3981,0.7
Wisconsin,Kenosha,2647,0.7
ALABAMA,BALDWIN,2080,0.7
Wisconsin,St Croix,1350,0.7
Ohio,Holmes,350,0.7
Wisconsin,Lafayette,226,0.7
Wisconsin,Iron,60,0.7
Idaho,Garden Valley,10,0.7
ILLINOIS,BOND,0,0.7
ILLINOIS,HENRY,0,0.7
Indiana,Elkhart,0,0.7
MICHIGAN,Cass,0,0.7
ALABAMA,LAUDERDALE,1036,0.69
Kentucky,Franklin,653,0.69
Nevada,churchill,351,0.69
Tennessee,Fentress,177,0.69
Idaho,Mccall-Donnelly,78,0.69
Washington,COLUMBIA,39,0.69
ILLINOIS,DOUGLAS,0,0.69
ILLINOIS,GALLATIN,0,0.69
ILLINOIS,PIATT,0,0.69
ILLINOIS,SHELBY,0,0.69
MICHIGAN,Berrien,0,0.69
ALABAMA,TUSCALOOSA,2440,0.68
ALABAMA,HOUSTON,1227,0.68
ALABAMA,HENRY,152,0.68
ILLINOIS,MACOUPIN,0,0.68
MICHIGAN,Monroe,0,0.68
Texas,REAL,0,0.68
Washington,JEFFERSON,183,0.67
ILLINOIS,FORD,0,0.67
ILLINOIS,JOHNSON,0,0.67
ILLINOIS,LA SALLE,0,0.67
ILLINOIS,LIVINGSTON,0,0.67
ILLINOIS,OGLE,0,0.67
ILLINOIS,PERRY,0,0.67
ILLINOIS,SAINT CLAIR,0,0.67
ILLINOIS,WASHINGTON,0,0.67
Indiana,Lagrange,0,0.67
Kansas,CHASE,0,0.67
MICHIGAN,Manistee,0,0.67
MONTANA,Golden Valley,0,0.67
ALABAMA,COFFEE,668,0.66
Washington,FERRY,44,0.66
ILLINOIS,BUREAU,0,0.66
ILLINOIS,COLES,0,0.66
ILLINOIS,IROQUOIS,0,0.66
ILLINOIS,SCHUYLER,0,0.66
ALABAMA,RUSSELL,711,0.65
Washington,LINCOLN,163,0.65
ILLINOIS,CASS,0,0.65
ILLINOIS,CHAMPAIGN,0,0.65
ILLINOIS,POPE,0,0.65
ILLINOIS,SALINE,0,0.65
Indiana,Adams,0,0.65
ALABAMA,LEE,1148,0.64
Idaho,Whitepine,14,0.64
ILLINOIS,MASON,0,0.64
ILLINOIS,PEORIA,0,0.64
ILLINOIS,ADAMS,0,0.63
ILLINOIS,DEKALB,0,0.63
Indiana,St. Joseph,0,0.63
Kansas,WALLACE,0,0.63
Idaho,Mackay,13,0.62
ILLINOIS,CUMBERLAND,0,0.62
ILLINOIS,FULTON,0,0.62
ILLINOIS,HENDERSON,0,0.62
ILLINOIS,LAKE,0,0.62
ILLINOIS,WINNEBAGO,0,0.62
Wisconsin,Grant,597,0.61
ILLINOIS,ALEXANDER,0,0.61
ILLINOIS,BOONE,0,0.61
ILLINOIS,CARROLL,0,0.61
ILLINOIS,DEWITT,0,0.61
ILLINOIS,MENARD,0,0.61
ILLINOIS,MONTGOMERY,0,0.61
ILLINOIS,UNION,0,0.61
ILLINOIS,WARREN,0,0.61
ILLINOIS,WILLIAMSON,0,0.61
North Dakota,Sargent,47,0.6
ILLINOIS,COOK,0,0.6
ILLINOIS,PUTNAM,0,0.6
ILLINOIS,WILL,0,0.6
Indiana,Hamilton,0,0.6
Washington,PEND OREILLE,114,0.59
ILLINOIS,KANKAKEE,0,0.59
ILLINOIS,MARSHALL,0,0.59
ILLINOIS,MORGAN,0,0.59
MICHIGAN,Keweenaw,0,0.59
MICHIGAN,Menominee,0,0.59
Wisconsin,Vernon,467,0.58
ILLINOIS,CLARK,0,0.58
ILLINOIS,JO DAVIESS,0,0.58
ILLINOIS,LOGAN,0,0.58
ILLINOIS,TAZEWELL,0,0.58
ILLINOIS,GRUNDY,0,0.57
ILLINOIS,KANE,0,0.57
Wisconsin,Florence,36,0.56
ILLINOIS,BROWN,0,0.56
ILLINOIS,JACKSON,0,0.56
Nevada,eureka,38,0.55
ILLINOIS,MONROE,0,0.55
Wisconsin,Clark,621,0.54
Nevada,nye,494,0.54
Nevada,storey,46,0.54
Nevada,esmerelda,8,0.54
ILLINOIS,CHRISTIAN,0,0.53
ILLINOIS,CLINTON,0,0.53
ILLINOIS,DUPAGE,0,0.53
ILLINOIS,MCHENRY,0,0.53
ILLINOIS,PULASKI,0,0.53
ILLINOIS,SANGAMON,0,0.53
ILLINOIS,MASSAC,0,0.52
ILLINOIS,WOODFORD,0,0.52
ILLINOIS,DE KALB,0,0.51
ILLINOIS,MCLEAN,0,0.51
ALABAMA,UNKNOWN COUNTY,4711,0.5
Idaho,Kootenai,8,0.5
ILLINOIS,SCOTT,0,0.5
ILLINOIS,STARK,0,0.5
ILLINOIS,HANCOCK,0,0.46
ILLINOIS,KENDALL,0,0.4
Idaho,Salmon River,8,0.38
ILLINOIS,DU PAGE,0,0.38
North Dakota,Burke,42,0.36
ILLINOIS,OHIO,0,0.33
ILLINOIS,FOUNTAIN,0,0.0
